name;url;fetched
Pousada Som dos Pássaros;https://www.booking.com/hotel/br/residencial-som-dos-passaros.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=89420412_208751325_2_1_0&highlighted_blocks=89420412_208751325_2_1_0&matching_block_id=89420412_208751325_2_1_0&sr_pri_blocks=89420412_208751325_2_1_0__28000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;FALSE
Pousada Canto do Porto;https://www.booking.com/hotel/br/pousada-canto-do-porto.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=33622002_335346563_1_1_0&highlighted_blocks=33622002_335346563_1_1_0&matching_block_id=33622002_335346563_1_1_0&sr_pri_blocks=33622002_335346563_1_1_0__47000&from=searchresults#hotelTmpl;FALSE
Pousada Unaí;https://www.booking.com/hotel/br/pousada-unai.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=73342806_94824789_2_1_0&highlighted_blocks=73342806_94824789_2_1_0&matching_block_id=73342806_94824789_2_1_0&sr_pri_blocks=73342806_94824789_2_1_0__25200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;FALSE
Pousada Luz do Porto;https://www.booking.com/hotel/br/pousada-luz-do-porto.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=676701708_359567126_2_1_0&highlighted_blocks=676701708_359567126_2_1_0&matching_block_id=676701708_359567126_2_1_0&sr_pri_blocks=676701708_359567126_2_1_0__24239&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;FALSE
Pousada Santorini;https://www.booking.com/hotel/br/pousada-santorini-ipojuca1.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=694006901_285566127_2_1_0&highlighted_blocks=694006901_285566127_2_1_0&matching_block_id=694006901_285566127_2_1_0&sr_pri_blocks=694006901_285566127_2_1_0__29700&from=searchresults#hotelTmpl;FALSE
Beira Mar Porto de Galinhas Hotel;https://www.booking.com/hotel/br/beira-mar-porto-de-galinhas.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=35828705_204848395_2_1_0&highlighted_blocks=35828705_204848395_2_1_0&matching_block_id=35828705_204848395_2_1_0&sr_pri_blocks=35828705_204848395_2_1_0__32000&from=searchresults#hotelTmpl;FALSE
Pousada Lua Azul;https://www.booking.com/hotel/br/pousada-lua-azul.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=36542207_376151486_2_1_0&highlighted_blocks=36542207_376151486_2_1_0&matching_block_id=36542207_376151486_2_1_0&sr_pri_blocks=36542207_376151486_2_1_0__22500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;FALSE
Pousada La Bella Luna;https://www.booking.com/hotel/br/pousada-la-bella-luna.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=396290206_202369354_2_1_0&highlighted_blocks=396290206_202369354_2_1_0&matching_block_id=396290206_202369354_2_1_0&sr_pri_blocks=396290206_202369354_2_1_0__28160&from_sustainable_property_sr=1&from=searchresults#hotelTmpl;FALSE
Pousada Angra do Porto;https://www.booking.com/hotel/br/pousada-angra-do-porto.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=57841101_203730975_2_1_0&highlighted_blocks=57841101_203730975_2_1_0&matching_block_id=57841101_203730975_2_1_0&sr_pri_blocks=57841101_203730975_2_1_0__23000&from=searchresults#hotelTmpl;FALSE
Pousada Maracabana Spa;https://www.booking.com/hotel/br/pousada-maracabana.pt-br.html?label=gen173nr-1BCAEoggI46AdIM1gEaCCIAQGYAS24AQfIAQzYAQHoAQGIAgGoAgO4Aua9m6wGwAIB0gIkZTRkMGZhZTgtMzNkMS00YjM4LWI3ZmYtYTMzMWQ3Yzk4MTA32AIF4AIB&sid=bb851cb4cede7a0550c68031704f5f89&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-09&dest_id=-663612&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=ht_id%3D204&srpvid=ec4998ceb059015f&srepoch=1703367840&all_sr_blocks=36571915_351902939_2_1_0&highlighted_blocks=36571915_351902939_2_1_0&matching_block_id=36571915_351902939_2_1_0&sr_pri_blocks=36571915_351902939_2_1_0__39300&from=searchresults#hotelTmpl;FALSE
